CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12544,36,1,299.7,3,1,2,6,Regular
12545,75,2,832.39,2,3,3,8,At Risk
12546,47,2,1001.5,3,3,4,10,Regular
12547,198,2,151.8,1,3,1,5,Regular
12548,166,1,67.2,2,1,1,4,Hibernating
12550,79,1,824.83,2,1,3,6,Hibernating
12551,358,1,168.0,1,1,1,3,Hibernating
12552,40,1,317.82,3,1,2,6,Regular
12553,8,10,3238.25,5,5,5,15,High Value
12556,50,2,599.56,3,3,3,9,Regular
12557,16,5,11990.96,4,4,5,13,High Value
12559,311,2,500.21,1,3,3,7,At Risk
12560,5,2,1885.39,5,3,4,12,Potential
12561,303,1,238.85,1,1,1,3,Hibernating
12562,8,7,3385.74,5,5,5,15,High Value
12564,261,1,402.9,1,1,2,4,Hibernating
12565,289,1,131.17,1,1,1,3,Hibernating
12566,86,1,292.7,2,1,2,5,Hibernating
12567,23,10,8322.94,4,5,5,14,High Value
12569,2,32,3128.99,5,5,5,15,High Value
12571,40,2,519.61,3,3,3,9,Regular
12572,9,2,896.72,5,3,3,11,Potential
12573,227,1,160.54,1,1,1,3,Hibernating
12574,316,1,182.45,1,1,1,3,Hibernating
12576,36,5,1306.98,3,4,4,11,Loyal
12577,35,3,560.25,3,3,3,9,Regular
12578,21,2,2361.36,4,3,5,12,Potential
12579,78,1,374.72,2,1,2,5,Hibernating
12580,247,1,379.7,1,1,2,4,Hibernating
12581,40,1,179.71,3,1,1,5,Regular
12582,239,2,351.36,1,3,2,6,Regular
12583,3,15,6629.34,5,5,5,15,High Value
12584,4,9,1809.95,5,5,4,14,High Value
12585,234,2,1766.81,1,3,4,8,At Risk
12586,17,1,179.94,4,1,1,6,New
12587,8,1,104.0,5,1,1,7,New
12588,39,1,174.9,3,1,1,5,Regular
12589,29,2,574.68,4,3,3,10,Potential
12590,211,1,9338.38,1,1,5,7,Hibernating
12591,317,1,368.85,1,1,2,4,Hibernating
12592,92,2,401.6,2,3,2,7,Regular
12593,109,3,382.1,2,3,2,7,Regular
12594,38,9,3208.22,3,5,5,13,Loyal
12596,51,2,450.27,3,3,2,8,Regular
12597,19,4,3067.13,4,4,5,13,High Value
12598,10,7,2786.68,5,5,5,15,High Value
12599,29,7,888.58,4,5,3,12,Loyal
12600,29,10,2311.04,4,5,5,14,High Value
12601,190,5,479.56,1,4,3,8,At Risk
12602,59,1,153.12,3,1,1,5,Regular
12603,22,1,613.2,4,1,3,8,New
12604,79,2,236.18,2,3,1,6,Regular
12609,78,3,964.85,2,3,4,9,At Risk
12610,23,4,1705.99,4,4,4,12,High Value
12611,52,1,1193.32,3,1,4,8,Regular
12612,74,1,607.59,2,1,3,6,Hibernating
12613,57,4,2966.98,3,4,5,12,Loyal
12614,278,1,315.6,1,1,2,4,Hibernating
12615,2,4,2093.19,5,4,5,14,High Value
12616,95,2,585.25,2,3,3,8,At Risk
12617,29,1,352.98,4,1,2,7,New
12618,22,1,137.31,4,1,1,6,New
12619,16,8,2908.81,4,5,5,14,High Value
12620,15,3,1303.41,4,3,4,11,Potential
12621,2,20,12334.07,5,5,5,15,High Value
12622,232,1,162.1,1,1,1,3,Hibernating
12623,276,1,269.1,1,1,2,4,Hibernating
12624,106,2,569.13,2,3,3,8,At Risk
12625,212,2,2362.32,1,3,5,9,At Risk
12626,23,9,5722.35,4,5,5,14,High Value
12627,11,6,4082.53,5,5,5,15,High Value
12628,4,3,715.61,5,3,3,11,Potential
12630,10,2,1030.88,5,3,4,12,Potential
12631,57,1,480.5,3,1,3,7,Regular
12633,59,4,1906.63,3,4,4,11,Loyal
12635,90,2,1509.18,2,3,4,9,At Risk
12637,67,8,5790.25,3,5,5,13,Loyal
12638,33,1,511.69,3,1,3,7,Regular
12639,239,1,366.1,1,1,2,4,Hibernating
12640,24,3,994.58,4,3,4,11,Potential
12641,115,1,145.9,2,1,1,4,Hibernating
12642,25,3,905.26,4,3,3,10,Potential
12643,128,6,3041.64,2,5,5,12,At Risk
12644,130,1,477.91,2,1,3,6,Hibernating
12645,34,4,1611.38,3,4,4,11,Loyal
12646,5,2,1346.97,5,3,4,12,Potential
12647,22,12,3093.92,4,5,5,14,High Value
12648,155,1,300.05,2,1,2,5,Hibernating
12649,107,3,549.71,2,3,3,8,At Risk
12650,3,1,242.44,5,1,2,8,New
12651,335,1,114.0,1,1,1,3,Hibernating
12652,331,1,788.53,1,1,3,5,Hibernating
12653,149,2,2209.85,2,3,5,10,At Risk
12654,11,5,529.98,5,4,3,12,Loyal
12656,17,5,3550.72,4,4,5,13,High Value
12657,11,4,1008.06,5,4,4,13,High Value
12658,19,1,632.05,4,1,3,8,New
12659,30,1,73.68,4,1,1,6,New
12660,11,1,227.1,5,1,1,7,New
12662,1,11,3511.08,5,5,5,15,High Value
12664,8,9,4391.88,5,5,5,15,High Value
12665,325,1,43.75,1,1,1,3,Hibernating
12667,58,1,460.13,3,1,2,6,Regular
12668,12,4,3113.18,5,4,5,14,High Value
12669,151,2,1427.73,2,3,4,9,At Risk
12670,10,5,2734.15,5,4,5,14,High Value
12672,330,1,225.9,1,1,1,3,Hibernating
12673,5,2,574.52,5,3,3,11,Potential
12674,39,4,1796.26,3,4,4,11,Loyal
12676,25,6,1091.39,4,5,4,13,High Value
12678,42,9,16291.26,3,5,5,13,Loyal
12679,59,4,896.67,3,4,3,10,Loyal
12680,1,4,790.81,5,4,3,12,Loyal
12681,15,22,12309.59,4,5,5,14,High Value
12682,4,31,11019.82,5,5,5,15,High Value
12683,4,14,7357.09,5,5,5,15,High Value
12684,8,6,2073.63,5,5,5,15,High Value
12685,28,6,2575.08,4,5,5,14,High Value
12686,372,1,71.14,1,1,1,3,Hibernating
12688,114,1,4873.81,2,1,5,8,Hibernating
12689,26,2,1139.61,4,3,4,11,Potential
12690,206,1,335.01,1,1,2,4,Hibernating
12691,28,5,927.8,4,4,4,12,High Value
12693,127,4,686.96,2,4,3,9,At Risk
12694,70,2,761.67,3,3,3,9,Regular
12695,7,4,582.1,5,4,3,12,Loyal
12697,29,3,739.02,4,3,3,10,Potential
12700,8,4,4525.99,5,4,5,14,High Value
12701,80,2,725.71,2,3,3,8,At Risk
12702,20,1,201.0,4,1,1,6,New
12703,71,1,256.7,3,1,2,6,Regular
12704,7,8,1740.84,5,5,4,14,High Value
12705,15,8,6328.24,4,5,5,14,High Value
12707,292,1,603.42,1,1,3,5,Hibernating
12708,30,10,2346.32,4,5,5,14,High Value
12709,15,15,8959.75,4,5,5,14,High Value
12710,97,3,1004.57,2,3,4,9,At Risk
12712,29,13,3791.63,4,5,5,14,High Value
12713,1,1,794.55,5,1,3,9,New
12714,9,5,4294.86,5,4,5,14,High Value
12715,106,1,263.36,2,1,2,5,Hibernating
12716,4,2,963.49,5,3,4,12,Potential
12717,151,2,830.98,2,3,3,8,At Risk
12718,71,1,202.25,3,1,1,5,Regular
12719,5,2,536.1,5,3,3,11,Potential
12720,3,25,5065.28,5,5,5,15,High Value
12721,32,6,2358.98,4,5,5,14,High Value
12722,85,4,886.33,2,4,3,9,At Risk
12723,4,5,707.07,5,4,3,12,Loyal
12724,5,4,923.41,5,4,4,13,High Value
12725,371,1,371.8,1,1,2,4,Hibernating
12726,28,7,2411.1,4,5,5,14,High Value
12727,11,7,3425.7,5,5,5,15,High Value
12728,71,4,728.33,3,4,3,10,Loyal
12729,114,1,417.01,2,1,2,5,Hibernating
12731,24,12,18660.41,4,5,5,14,High Value
12732,180,1,218.26,1,1,1,3,Hibernating
12733,234,1,383.95,1,1,2,4,Hibernating
12734,353,1,110.4,1,1,1,3,Hibernating
12735,315,2,689.57,1,3,3,7,At Risk
12736,333,1,144.0,1,1,1,3,Hibernating
12738,372,1,137.35,1,1,1,3,Hibernating
12739,99,1,975.54,2,1,4,7,Hibernating
12740,64,1,427.6,3,1,2,6,Regular
12743,134,2,540.13,2,3,3,8,At Risk
12744,56,4,9120.39,3,4,5,12,Loyal
12747,2,11,4196.01,5,5,5,15,High Value
12748,1,206,29819.99,5,5,5,15,High Value
12749,4,5,3818.2,5,4,5,14,High Value
12750,129,1,275.88,2,1,2,5,Hibernating
12752,81,1,4366.78,2,1,5,8,Hibernating
12753,23,6,21024.01,4,5,5,14,High Value
12754,236,3,3010.74,1,3,5,9,At Risk
12755,281,2,2220.75,1,3,5,9,At Risk
12756,87,1,112.08,2,1,1,4,Hibernating
12757,16,9,4161.75,4,5,5,14,High Value
12758,117,2,2791.59,2,3,5,10,At Risk
12759,52,3,1411.44,3,3,4,10,Regular
12762,8,2,1702.52,5,3,4,12,Potential
12763,138,2,494.08,2,3,3,8,At Risk
12764,317,1,1693.88,1,1,4,6,Hibernating
12766,4,7,6457.63,5,5,5,15,High Value
12769,239,1,1143.6,1,1,4,6,Hibernating
12770,211,1,1351.45,1,1,4,6,Hibernating
12772,60,1,752.47,3,1,3,7,Regular
12775,17,5,1246.24,4,4,4,12,High Value
12778,20,6,693.23,4,5,3,12,Loyal
12779,38,8,3868.7,3,5,5,13,Loyal
12781,64,2,671.72,3,3,3,9,Regular
12782,5,5,1881.32,5,4,4,13,High Value
12783,2,4,1295.87,5,4,4,13,High Value
12784,15,1,476.82,4,1,3,8,New
12785,364,1,249.71,1,1,2,4,Hibernating
12787,10,3,418.66,5,3,2,10,Potential
12789,65,1,76.85,3,1,1,5,Regular
12790,192,1,294.92,1,1,2,4,Hibernating
12791,374,1,177.6,1,1,1,3,Hibernating
12792,257,1,344.54,1,1,2,4,Hibernating
12793,335,2,461.48,1,3,2,6,Regular
12794,53,2,860.41,3,3,3,9,Regular
12795,19,1,318.48,4,1,2,7,New
12797,366,1,166.18,1,1,1,3,Hibernating
12798,10,3,6977.04,5,3,5,13,Potential
12802,187,1,382.58,1,1,2,4,Hibernating
12808,37,3,455.65,3,3,2,8,Regular
12809,178,1,400.36,2,1,2,5,Hibernating
12811,262,2,458.85,1,3,2,6,Regular
12812,45,1,229.64,3,1,1,5,Regular
12814,102,1,85.92,2,1,1,4,Hibernating
12815,148,2,863.46,2,3,3,8,At Risk
12816,96,2,452.2,2,3,2,7,Regular
12817,281,1,126.04,1,1,1,3,Hibernating
12818,262,1,1157.88,1,1,4,6,Hibernating
12820,3,4,942.34,5,4,4,13,High Value
12821,214,1,92.72,1,1,1,3,Hibernating
12822,71,2,918.98,3,3,4,10,Regular
12823,75,5,1759.5,2,4,4,10,At Risk
12824,60,1,397.12,3,1,2,6,Regular
12826,3,7,1468.12,5,5,4,14,High Value
12827,6,3,430.15,5,3,2,10,Potential
12828,3,6,1018.71,5,5,4,14,High Value
12829,337,2,253.05,1,3,2,6,Regular
12830,38,6,6814.64,3,5,5,13,Loyal
12831,262,1,215.05,1,1,1,3,Hibernating
12832,32,2,383.03,4,3,2,9,Potential
12833,145,1,417.38,2,1,2,5,Hibernating
12834,283,1,312.38,1,1,2,4,Hibernating
12836,59,4,2610.36,3,4,5,12,Loyal
12837,173,1,134.1,2,1,1,4,Hibernating
12838,34,2,671.95,3,3,3,9,Regular
12839,3,14,5588.12,5,5,5,15,High Value
12840,144,4,2714.27,2,4,5,11,At Risk
12841,5,25,3845.63,5,5,5,15,High Value
12842,70,2,1118.99,3,3,4,10,Regular
12843,66,8,1680.76,3,5,4,12,Loyal
12844,29,2,325.96,4,3,2,9,Potential
12845,267,4,354.09,1,4,2,7,Regular
12847,22,1,843.64,4,1,3,8,New
12849,31,2,992.65,4,3,4,11,Potential
12851,97,1,131.81,2,1,1,4,Hibernating
12852,295,1,299.75,1,1,2,4,Hibernating
12853,135,6,1881.7,2,5,4,11,At Risk
12854,79,3,1280.9,2,3,4,9,At Risk
12855,373,1,38.1,1,1,1,3,Hibernating
12856,8,6,2153.53,5,5,5,15,High Value
12857,211,2,1106.4,1,3,4,8,At Risk
12863,52,1,504.2,3,1,3,7,Regular
12864,138,1,147.12,2,1,1,4,Hibernating
12865,26,2,1548.07,4,3,4,11,Potential
12866,283,1,499.12,1,1,3,5,Hibernating
12867,26,7,3962.99,4,5,5,14,High Value
12868,186,6,1607.06,1,5,4,10,At Risk
12871,84,2,380.64,2,3,2,7,Regular
12872,327,2,599.97,1,3,3,7,At Risk
12873,282,1,374.0,1,1,2,4,Hibernating
12875,143,2,343.23,2,3,2,7,Regular
12876,58,2,2053.02,3,3,5,11,Regular
12877,4,12,1535.77,5,5,4,14,High Value
12878,236,2,841.64,1,3,3,7,At Risk
12879,45,3,552.57,3,3,3,9,Regular
12881,276,1,298.0,1,1,2,4,Hibernating
12882,9,2,1463.04,5,3,4,12,Potential
12883,25,4,703.47,4,4,3,11,Loyal
12884,88,1,309.05,2,1,2,5,Hibernating
12885,63,3,1158.27,3,3,4,10,Regular
12886,68,2,1351.09,3,3,4,10,Regular
12888,214,2,313.77,1,3,2,6,Regular
12890,24,1,376.72,4,1,2,7,New
12891,186,3,331.0,1,3,2,6,Regular
12893,31,1,176.55,4,1,1,6,New
12895,42,2,347.3,3,3,2,8,Regular
12897,205,2,216.5,1,3,1,5,Regular
12901,9,28,16316.14,5,5,5,15,High Value
12902,265,1,138.68,1,1,1,3,Hibernating
12904,18,2,496.06,4,3,3,10,Potential
12906,12,5,2919.81,5,4,5,14,High Value
12908,176,2,360.0,2,3,2,7,Regular
12909,40,5,2128.83,3,4,5,12,Loyal
12910,23,8,3075.04,4,5,5,14,High Value
12912,3,5,1662.3,5,4,4,13,High Value
12913,5,5,2483.63,5,4,5,14,High Value
12915,149,2,363.65,2,3,2,7,Regular
12916,139,4,2921.15,2,4,5,11,At Risk
12917,128,1,594.0,2,1,3,6,Hibernating
12919,8,6,1301.44,5,5,4,14,High Value
12920,17,1,162.78,4,1,1,6,New
12921,9,37,16389.74,5,5,5,15,High Value
12922,161,1,405.38,2,1,2,5,Hibernating
12923,64,1,171.57,3,1,1,5,Regular
12924,88,4,922.0,2,4,4,10,At Risk
12925,5,2,694.05,5,3,3,11,Potential
12928,35,5,2062.7,3,4,5,12,Loyal
12929,312,1,105.1,1,1,1,3,Hibernating
12930,78,2,409.9,2,3,2,7,Regular
12931,22,15,33544.81,4,5,5,14,High Value
12933,24,3,606.28,4,3,3,10,Potential
12935,2,7,2156.45,5,5,5,15,High Value
12936,17,4,1012.9,4,4,4,12,High Value
12937,15,4,1504.27,4,4,4,12,High Value
12938,26,1,114.14,4,1,1,6,New
12939,64,8,11581.8,3,5,5,13,Loyal
12940,55,2,862.44,3,3,3,9,Regular
12942,131,3,675.6,2,3,3,8,At Risk
12944,36,2,604.51,3,3,3,9,Regular
12945,288,1,462.95,1,1,2,4,Hibernating
12947,144,6,1407.29,2,5,4,11,At Risk
12948,16,7,2053.7,4,5,5,14,High Value
12949,31,8,4143.02,4,5,5,14,High Value
12950,2,3,1843.0,5,3,4,12,Potential
12951,9,6,1042.07,5,5,4,14,High Value
12952,6,4,1382.84,5,4,4,13,High Value
12953,10,1,329.85,5,1,2,8,New
12955,1,11,4734.26,5,5,5,15,High Value
12956,306,1,108.07,1,1,1,3,Hibernating
12957,10,8,3979.04,5,5,5,15,High Value
12962,7,2,266.39,5,3,2,10,Potential
12963,8,8,1856.63,5,5,4,14,High Value
12965,89,1,769.81,2,1,3,6,Hibernating
12966,10,1,160.18,5,1,1,7,New
12967,358,2,1194.75,1,3,4,8,At Risk
12968,112,1,135.95,2,1,1,4,Hibernating
12970,7,4,405.47,5,4,2,11,Loyal
12971,4,86,10933.76,5,5,5,15,High Value
12974,198,1,144.8,1,1,1,3,Hibernating
12976,212,1,738.6,1,1,3,5,Hibernating
12977,156,1,39.24,2,1,1,4,Hibernating
12980,158,9,7092.06,2,5,5,12,At Risk
12981,30,2,372.22,4,3,2,9,Potential
12982,243,1,377.2,1,1,2,4,Hibernating
12984,19,1,97.5,4,1,1,6,New
12985,1,2,1215.62,5,3,4,12,Potential
12987,74,2,545.0,2,3,3,8,At Risk
12988,292,1,505.82,1,1,3,5,Hibernating
12989,3,15,6854.51,5,5,5,15,High Value
12990,31,3,409.5,4,3,2,9,Potential
12991,23,2,503.76,4,3,3,10,Potential
12993,23,4,414.76,4,4,2,10,Loyal
12994,4,3,902.22,5,3,3,11,Potential
12995,85,1,200.72,2,1,1,4,Hibernating
12997,22,4,1197.94,4,4,4,12,High Value
12999,196,3,455.88,1,3,2,6,Regular
13000,107,3,534.85,2,3,3,8,At Risk
13001,4,13,9765.07,5,5,5,15,High Value
13002,318,1,120.95,1,1,1,3,Hibernating
13003,106,3,149.05,2,3,1,6,Regular
13004,12,18,5613.43,5,5,5,15,High Value
13005,174,2,468.95,2,3,2,7,Regular
13006,56,1,81.57,3,1,1,5,Regular
13008,323,1,178.47,1,1,1,3,Hibernating
13011,372,1,50.55,1,1,1,3,Hibernating
13012,9,8,1301.72,5,5,4,14,High Value
13013,1,13,4786.99,5,5,5,15,High Value
13014,11,10,3365.43,5,5,5,15,High Value
13015,53,5,3339.64,3,4,5,12,Loyal
13016,73,3,789.89,2,3,3,8,At Risk
13017,7,1,204.0,5,1,1,7,New
13018,16,28,7272.75,4,5,5,14,High Value
13021,4,9,2584.4,5,5,5,15,High Value
13023,64,2,599.9,3,3,3,9,Regular
13026,1,5,943.77,5,4,4,13,High Value
13027,114,6,6912.0,2,5,5,12,At Risk
13028,23,2,659.68,4,3,3,10,Potential
13029,31,3,1247.5,4,3,4,11,Potential
13030,11,2,752.44,5,3,3,11,Potential
13032,52,2,996.52,3,3,4,10,Regular
13033,357,1,190.55,1,1,1,3,Hibernating
13034,55,2,642.77,3,3,3,9,Regular
13035,74,2,886.63,2,3,3,8,At Risk
13037,138,3,881.07,2,3,3,8,At Risk
13038,80,3,908.46,2,3,3,8,At Risk
13040,9,2,676.99,5,3,3,11,Potential
13043,273,1,471.57,1,1,3,5,Hibernating
13044,291,1,560.47,1,1,3,5,Hibernating
13045,99,1,305.28,2,1,2,5,Hibernating
13046,31,2,629.31,4,3,3,10,Potential
13047,57,9,3089.1,3,5,5,13,Loyal
13048,14,4,1789.41,4,4,4,12,High Value
13049,64,2,656.68,3,3,3,9,Regular
13050,15,17,5680.86,4,5,5,14,High Value
13052,212,1,348.15,1,1,2,4,Hibernating
13055,78,3,1201.96,2,3,4,9,At Risk
13058,25,3,271.4,4,3,2,9,Potential
13059,250,1,183.4,1,1,1,3,Hibernating
13060,254,1,307.53,1,1,2,4,Hibernating
13061,72,1,248.61,2,1,2,5,Hibernating
13062,191,1,346.98,1,1,2,4,Hibernating
13064,13,4,1105.59,5,4,4,13,High Value
13065,373,1,205.86,1,1,1,3,Hibernating
13066,24,2,430.9,4,3,2,9,Potential
13067,82,1,115.46,2,1,1,4,Hibernating
13068,10,2,344.0,5,3,2,10,Potential
13069,1,24,3713.14,5,5,5,15,High Value
13070,192,1,228.8,1,1,1,3,Hibernating
13072,267,1,177.15,1,1,1,3,Hibernating
13075,130,1,919.61,2,1,4,7,Hibernating
13077,1,4,728.02,5,4,3,12,Loyal
13078,3,26,12432.28,5,5,5,15,High Value
13079,4,5,220.1,5,4,1,10,Loyal
13080,179,1,58.08,2,1,1,4,Hibernating
13081,12,11,27972.08,5,5,5,15,High Value
13082,126,9,3595.48,2,5,5,12,At Risk
13083,4,2,303.75,5,3,2,10,Potential
13085,158,2,272.38,2,3,2,7,Regular
13089,3,97,57322.13,5,5,5,15,High Value
13090,9,13,8674.39,5,5,5,15,High Value
13091,28,1,319.82,4,1,2,7,New
13092,71,5,459.83,3,4,2,9,Loyal
13093,276,8,7741.47,1,5,5,11,At Risk
13094,21,12,1708.86,4,5,4,13,High Value
13095,71,1,74.4,3,1,1,5,Regular
13097,33,10,5901.07,3,5,5,13,Loyal
13098,1,28,28658.88,5,5,5,15,High Value
13099,99,1,207.36,2,1,1,4,Hibernating
13101,234,1,101.19,1,1,1,3,Hibernating
13102,1,24,6336.29,5,5,5,15,High Value
13103,40,1,243.94,3,1,2,6,Regular
13104,3,6,1098.48,5,5,4,14,High Value
13106,133,1,59.5,2,1,1,4,Hibernating
13107,44,4,1524.07,3,4,4,11,Loyal
13108,373,1,350.06,1,1,2,4,Hibernating
13109,60,2,766.84,3,3,3,9,Regular
13110,31,7,1452.87,4,5,4,13,High Value
13113,1,24,10523.65,5,5,5,15,High Value
13115,12,4,2205.63,5,4,5,14,High Value
13116,138,1,485.19,2,1,3,6,Hibernating
